OBJECTID_1,OBJECTID,Beats,District,Beats_0,Area_sq_mi,Perimet_mi,Shape_STAr,Shape_STLe,Shape_ST_1,Shape_ST_2,Shape_Leng
1,104,23J40,23,23J40,3.039335,9.254984,84731452.6914,48866.313742,84731452.6914,48866.313742,48866.313742
2,105,23J50,23,23J50,2.123895,7.153639,59210555.3047,37771.213441,59210555.3047,37771.213441,37771.213441
3,1,1A10,1,01A10,1.746467,6.236709,48688508.8711,32929.823996,48688508.8711,32929.823996,32929.823999
4,2,1A20,1,01A20,2.440565,7.951329,68038765.7109,41983.018467,68038765.7109,41983.018467,41993.698682
5,3,1A30,1,01A30,2.656869,8.016405,74068967.5234,42326.621053,74068967.5234,42326.621053,42379.151925
6,4,1A40,1,01A40,2.441498,9.010148,68064774.7852,47573.580758,68064774.7852,47573.580758,47576.55952
7,5,1A50,1,01A50,3.085581,10.763272,86020728.3008,56830.075088,86020728.3008,56830.075088,54930.621673
8,6,2A10,2,02A10,3.309286,9.166198,92257232.3477,48397.524107,92257232.3477,48397.524107,48397.523859
9,7,2A20,2,02A20,1.887646,7.189556,52624342.4727,37960.857079,52624342.4727,37960.857079,37960.857073
10,8,2A30,2,02A30,4.639742,9.59162,129348062.82,50643.751265,129348062.82,50643.751265,50812.973842
11,9,2A40,2,02A40,1.609942,5.589316,44882420.2734,29511.588282,44882420.2734,29511.588282,29550.602178
12,10,2A50,2,02A50,5.46951,13.535197,152480591.039,71465.83803,152480591.039,71465.83803,72324.101072
13,11,2A60,2,02A60,4.741249,11.22177,132177894.047,59250.944292,132177894.047,59250.944292,52938.298937
14,12,3B10,3,03B10,6.820688,11.999392,190149099.574,63356.790014,190149099.574,63356.790014,63356.790014
15,13,3B30,3,03B30,5.310372,10.930232,148044082.652,57711.62653,148044082.652,57711.62653,57711.62653
16,14,3B40,3,03B40,3.400136,8.059606,94789961.4414,42554.721883,94789961.4414,42554.721883,42554.721883
17,15,3B50,3,03B50,3.852595,9.346366,107403759.547,49348.812676,107403759.547,49348.812676,49348.812676
18,16,5F10,5,05F10,3.227791,7.988757,89985282.5469,42180.637951,89985282.5469,42180.637951,42709.971325
19,17,5F30,5,05F30,8.702952,15.981644,242623393.766,84383.082939,242623393.766,84383.082939,84883.777895
20,18,6B10,6,06B10,5.515321,11.442578,153757705.832,60416.810661,153757705.832,60416.810661,60490.512752
21,19,6B20,6,06B20,6.128695,13.566287,170857520.813,71629.994471,170857520.813,71629.994471,71629.994471
22,20,6B30,6,06B30,7.218471,21.692863,201238622.84,114538.315592,201238622.84,114538.315592,114536.203496
23,21,6B40,6,06B40,5.57464,16.684364,155411434.633,88093.443402,155411434.633,88093.443402,97892.631662
24,22,6B50,6,06B50,2.822935,10.603481,78698589.6563,55986.378861,78698589.6563,55986.378861,55960.297056
25,23,6B60,6,06B60,4.679078,25.510529,130444674.086,134695.59152,130444674.086,134695.59152,124641.804096
26,24,7C10,7,07C10,3.478283,8.865587,96968583.6602,46810.299169,96968583.6602,46810.299169,46810.299169
27,25,7C20,7,07C20,7.085752,11.097944,197538626.449,58597.143715,197538626.449,58597.143715,58597.143715
28,26,7C30,7,07C30,4.517198,9.233793,125931760.5,48754.427022,125931760.5,48754.427022,48754.427022
29,27,7C40,7,07C40,3.354098,23.184389,93506522.4609,122413.573278,93506522.4609,122413.573278,122802.583515
30,28,7C50,7,07C50,13.760099,63.972746,381668240.969,334093.052144,383607997.512,337776.10148,341483.559835
31,29,8C10,8,08C10,3.690373,9.105834,102881287.563,48078.805804,102881287.563,48078.805804,48078.805804
32,30,8C20,8,08C20,3.361542,9.443734,93714041.4141,49862.918146,93714041.4141,49862.918146,49862.918146
33,31,8C30,8,08C30,4.625826,9.786353,128960108.91,51671.943146,128960108.91,51671.943146,51671.943146
34,32,8C40,8,08C40,4.972771,10.359695,138632349.664,54699.187752,138632349.664,54699.187752,54835.068093
35,33,8C50,8,08C50,3.31667,7.756297,92463084.7031,40953.250173,92463084.7031,40953.250173,40968.893814
36,34,8C60,8,08C60,5.791802,14.536546,161465540.598,76752.963591,161465540.598,76752.963591,76635.866451
37,35,9C10,9,09C10,5.21313,16.150239,145333133.027,85273.261366,145333133.027,85273.261366,85287.287625
38,36,9C20,9,09C20,7.538317,15.14318,210155384.355,79955.990543,210155384.355,79955.990543,79955.990543
39,37,9C30,9,09C30,8.0711,16.818853,225008442.27,88803.545027,225008442.27,88803.545027,113114.524681
40,38,9C40,9,09C40,10.43856,69.757354,291009172.961,368318.828956,291009172.961,368318.828956,368702.131635
41,39,10H10,10,10H10,2.818307,8.066706,78569562.3359,42592.208912,78569562.3359,42592.208912,42592.208874
42,40,10H20,10,10H20,1.757432,5.97081,48994187.6953,31525.879362,48994187.6953,31525.879362,31525.87854
43,41,10H30,10,10H30,1.026912,4.603059,28628535.5156,24304.151781,28628535.5156,24304.151781,24304.152463
44,42,10H40,10,10H40,0.996271,4.977083,27774319.6133,26278.996908,27774319.6133,26278.996908,26278.996761
45,43,10H50,10,10H50,2.308431,6.798055,64355099.3867,35893.73244,64355099.3867,35893.73244,35893.732656
46,44,10H60,10,10H60,3.08931,8.593036,86124676.7813,45371.230007,86124676.7813,45371.230007,45371.231143
47,45,10H70,10,10H70,3.52218,11.293501,98192336.7383,59629.6867,98192336.7383,59629.6867,59629.6867
48,46,10H80,10,10H80,2.742108,7.597394,76445288.3047,40114.24143,76445288.3047,40114.24143,40058.215548
49,47,11H10,11,11H10,5.315028,11.791117,148534648.691,62318.77834,148173888.004,62257.096118,62257.096118
50,48,11H20,11,11H20,3.931116,9.77086,109141458.203,51723.433608,109592788.633,51590.138778,51590.138778
51,49,11H30,11,11H30,2.842781,8.83784,78845377.1602,45753.196267,79251857.2617,46663.794282,46663.794282
52,50,11H40,11,11H40,6.162679,46.893876,171804948.105,247599.667041,171804948.105,247599.667041,247438.750535
53,51,11H50,11,11H50,2.110171,7.918032,59223906.1797,41891.204057,58827955.7305,41807.208249,41626.076622
54,52,12D10,12,12D10,8.557119,15.59981,238557844.352,82366.995097,238557844.352,82366.995097,81958.942118
55,53,12D20,12,12D20,3.82763,11.952459,106707781.328,63108.982733,106707781.328,63108.982733,63138.246756
56,54,12D30,12,12D30,4.001215,10.852349,111547038.344,57300.402197,111547038.344,57300.402197,57222.595868
57,55,12D40,12,12D40,9.687478,22.938952,270070305.109,121117.664081,270070305.109,121117.664081,121102.574102
58,56,12D50,12,12D50,8.908893,15.385496,248364682.711,81235.420464,248364682.711,81235.420464,81186.168445
59,57,12D60,12,12D60,6.404741,11.881024,178553224.652,62731.808496,178553224.652,62731.808496,63438.692273
60,58,12D70,12,12D70,5.403477,12.755729,150639679.664,67350.248262,150639679.664,67350.248262,67017.812424
61,59,13D10,13,13D10,5.243371,11.367931,147137884.16,62572.294442,146176203.844,60022.675239,60022.675239
